Rang,Nom,Ticker,Pays,Date Résultats,Prix Actuel (est.),Score /100,Potentiel,Confiance,Catalyseur Principal,Risque Principal,EPS Consensus,CA Consensus,Thèse (résumé)
Rang,Nom,Ticker,Pays,Date Résultats,Prix Actuel (est.),Score /100,Potentiel,Confiance,Catalyseur Principal,Risque Principal,EPS Consensus,CA Consensus,Thèse (résumé)
1,Cisco Systems,CSCO,USA,13 mai 2026 (AMC),~$71,84,Modéré,Fort,Guidance ARR Splunk + carnet commandes réseau IA,Ralentissement IT si géopolitique Iran s'aggrave,$0.76 (+22.9% YoY),$15.56 Mds (+9.97% YoY),Pivot réussi vers sécurité/IA-networking avec Splunk intégré ; revenus récurrents en forte hausse
2,Alibaba Group,BABA,Chine,13-14 mai 2026 (BMO),~$120,78,Élevé,Moyen,Sommet Trump-Xi + détente commerciale US-Chine,Miss EPS récurrents ; volatilité ADR extrême,$9.25 (whisper $7.86),$38.5 Mds,Décote extrême ; catalyseur politique binaire avec le sommet Xi-Trump cette semaine même
3,Applied Materials,AMAT,USA,15 mai 2026 (AMC),~$195,77,Élevé,Moyen,Carnet de commandes fabs HBM/NAND en accélération,Contrôles exports US vers Chine pèsent sur guidance,~$2.42,~$7.15 Mds,Supercycle capex IA profite directement aux équipementiers de fabs ; momentum Intel/AMD favorable
4,Walmart,WMT,USA,15 mai 2026 (BMO),~$125,75,Modéré,Fort,Croissance Walmart+ et revenus publicitaires,Inflation énergie → pression chaîne approvisionnement,~$0.65,~$166 Mds,Defensive play solide ; 56 analystes ; PT médian $138 ; montée en gamme ad-tech et marketplace
5,JD.com,JD,Chine,12 mai 2026 (BMO),~$42,72,Élevé,Faible,Reprise consommation Chine + détente diplomatique US-Chine,Risques géopolitiques et réglementaires ADR,~$0.78,~$38 Mds,Ouverture de la semaine ; décote extrême vs comparables US ; catalyseur sommet Xi-Trump
6,Home Depot,HD,USA,15 mai 2026 (BMO),~$380,71,Modéré,Fort,Stabilisation immobilier + accélération projets rénovation pro,Taux élevés prolongés ; droits de douane matériaux,~$3.68,~$39.2 Mds,Valeur défensive de qualité ; marges opérationnelles parmi les meilleures du retail US
7,Intuit,INTU,USA,15 mai 2026 (AMC),~$640,68,Modéré,Moyen,Croissance SaaS fiscal + IA Intuit Assist (QuickBooks),Valorisation élevée PER >40x ; concurrence IA gratuite,~$9.85,~$7.8 Mds,Post-saison fiscale US garantit visibilité revenus ; pivot IA différenciateur sur le SMB
8,Takeda Pharmaceutical,TAK,Japon,13 mai 2026 (BMO),~$14,65,Faible,Moyen,Pipeline oncologie + sentiment pharma post-Hantavirus,Exposition yen/dollar ; dépréciation actifs Shire,~$0.61,~$4.1 Mds,Pharma japonaise liquide ; effet sentiment positif épidémie Hantavirus ; dividende attractif
9,Baidu,BIDU,Chine,15 mai 2026 (BMO),~$92,62,Élevé,Faible,Croissance cloud IA Ernie Bot + rebond pub digitale,Régulation chinoise imprévisible ; ADR volatile,~$2.45,~$4.8 Mds,Google chinois décoté ; pivot IA structurel ; levier sommet Xi-Trump sur le sentiment ADR
10,Deere & Company,DE,USA,15 mai 2026 (BMO),~$490,61,Modéré,Moyen,Rebond équipements construction US + Asie,Cycle agricole en baisse ; droits de douane matériaux,~$6.20,~$12.5 Mds,Leader mondial agri/construction ; diversification precision ag IA ; hausse pétrole booste extraction
